// --- DATOS PARA INGENIERIA ---
Colegio,CL,M1,M2,CI,HI,NEM,RAN
Colegio Santa Maria de Maipu,594,622,686,939,406,860,902
Instituto portaleano,652,921,977,662,992,908,913
Colegio sagrado corazon,564,738,756,505,653,621,629
Colegio Santa Maria de Maipu,481,796,633,667,818,667,671
Instituto portaleano,795,873,960,791,841,951,990
Colegio sagrado corazon,722,788,675,735,640,334,380
Colegio sagrado corazon,460,604,896,573,969,560,596
Colegio sagrado corazon,788,962,919,852,847,873,906
Instituto portaleano,641,652,576,733,682,556,567
Instituto portaleano,671,808,842,851,863,588,624
Instituto portaleano,730,808,885,608,771,452,484
Colegio torreon,711,897,701,804,876,637,665
Instituto portaleano,513,722,597,847,407,430,466
Colegio Santa Maria de Maipu,662,639,715,879,596,515,565
Colegio Santa Maria de Maipu,599,782,725,905,552,420,450
Instituto portaleano,700,664,608,734,762,529,551
Instituto portaleano,677,839,599,702,677,957,985
Colegio sagrado corazon,800,963,836,538,514,208,222
Colegio Santa Maria de Maipu,818,694,732,751,693,900,917
Colegio torreon,712,698,946,608,494,844,868
Colegio Pedro de Valdivia,608,735,740,860,795,688,734
Colegio Santa Maria de Maipu,575,912,663,541,911,374,388
Instituto portaleano,899,827,579,858,999,776,793
Colegio Santa Maria de Maipu,566,629,780,999,965,326,376
Colegio Santa Maria de Maipu,741,821,913,639,535,189,209
Colegio Santa Maria de Maipu,554,830,836,748,535,366,370
Colegio Pedro de Valdivia,707,781,903,714,531,570,599
Instituto portaleano,839,857,764,553,444,258,290
Colegio sagrado corazon,689,658,616,975,488,766,816
Colegio torreon,468,867,576,904,984,492,511
Colegio sagrado corazon,714,831,656,593,867,632,649
Instituto portaleano,666,977,729,597,584,751,797
Colegio Pedro de Valdivia,452,805,966,635,939,762,764
Colegio torreon,702,965,851,785,817,574,602
Instituto portaleano,464,783,586,680,479,459,467
Instituto portaleano,992,778,819,864,930,835,854
Colegio sagrado corazon,748,926,720,996,410,459,461
Instituto portaleano,828,646,692,516,523,650,672
Instituto portaleano,981,979,962,1000,490,112,144
Colegio Pedro de Valdivia,992,680,887,506,911,330,357
Colegio sagrado corazon,484,862,953,842,762,953,959
Colegio sagrado corazon,868,974,618,948,583,370,394
Instituto portaleano,981,732,791,696,452,962,993
Instituto portaleano,494,667,598,911,829,967,1000
Colegio Santa Maria de Maipu,680,833,750,890,777,231,241
Colegio Santa Maria de Maipu,575,993,759,722,850,335,335
Colegio Pedro de Valdivia,627,877,677,922,880,252,272
Instituto portaleano,812,669,645,679,531,851,861
Colegio Pedro de Valdivia,736,718,747,570,874,859,886
Colegio sagrado corazon,887,655,808,616,728,303,337
Instituto portaleano,633,640,769,731,494,128,166
Colegio torreon,818,991,857,551,904,374,381
Colegio sagrado corazon,891,603,648,908,980,900,929
Colegio sagrado corazon,516,605,982,548,475,452,479
Instituto portaleano,707,625,910,835,624,399,430
Colegio torreon,971,814,558,639,764,956,1000
Colegio Pedro de Valdivia,845,637,998,736,969,665,678
Colegio Santa Maria de Maipu,732,616,974,572,860,655,658
Colegio Pedro de Valdivia,764,675,571,985,811,517,518
Colegio sagrado corazon,539,826,714,674,503,257,264
Colegio sagrado corazon,919,720,990,623,452,531,560
Instituto portaleano,699,645,891,514,415,433,483
Colegio sagrado corazon,826,730,621,848,907,583,588
Colegio sagrado corazon,573,782,919,820,504,805,837
Colegio Santa Maria de Maipu,686,627,556,504,546,432,481
Instituto portaleano,748,979,827,608,848,730,759
Instituto portaleano,830,964,696,844,608,682,732
Colegio sagrado corazon,796,854,813,739,672,864,874
Colegio Santa Maria de Maipu,516,977,826,980,401,558,579
Colegio sagrado corazon,505,912,665,998,645,377,379
Colegio Santa Maria de Maipu,982,734,679,573,728,574,595
Colegio sagrado corazon,967,928,945,628,471,638,686
Instituto portaleano,637,861,847,772,601,889,926
Colegio Pedro de Valdivia,580,792,718,716,600,732,777
Colegio Pedro de Valdivia,563,986,777,794,663,765,794
Colegio sagrado corazon,920,965,565,851,836,578,593
Colegio sagrado corazon,463,746,683,770,626,258,286
Colegio Pedro de Valdivia,670,836,835,842,514,378,415
Colegio torreon,741,653,663,929,434,816,862
Colegio sagrado corazon,764,927,732,826,419,548,567
Instituto portaleano,667,606,711,573,761,864,875
Colegio Santa Maria de Maipu,515,796,787,881,593,155,155
Colegio torreon,817,827,856,646,736,863,903
Colegio Santa Maria de Maipu,900,921,824,922,991,255,293
Colegio sagrado corazon,760,705,966,550,637,994,998
Colegio Pedro de Valdivia,541,627,874,604,464,852,858

// --- DATOS PARA MEDICINA ---
Colegio,CL,M1,M2,CI,HI,NEM,RAN
Colegio torreon,711,846,756,818,471,771,807
Colegio Santa Maria de Maipu,637,786,816,810,545,704,708
Colegio torreon,882,794,560,736,683,573,574
Instituto portaleano,866,987,953,918,964,219,256
Colegio sagrado corazon,826,884,692,885,776,628,637
Colegio Santa Maria de Maipu,834,821,596,670,832,667,713
Colegio Pedro de Valdivia,845,688,867,908,542,711,724
Colegio Santa Maria de Maipu,604,813,990,688,751,827,866
Colegio sagrado corazon,846,799,761,947,637,115,144
Instituto portaleano,898,622,934,981,631,879,879
Colegio torreon,644,784,779,777,482,320,348
Colegio Santa Maria de Maipu,608,937,686,993,675,706,725
Instituto portaleano,752,659,933,793,916,700,722
Colegio torreon,968,855,852,936,716,465,498
Instituto portaleano,678,981,585,763,788,708,736
Colegio sagrado corazon,944,691,863,892,509,871,908
Colegio sagrado corazon,606,863,569,862,626,768,798
Colegio Pedro de Valdivia,795,799,994,653,734,882,925
Colegio Pedro de Valdivia,642,704,593,785,679,537,554
Colegio Santa Maria de Maipu,902,746,634,958,461,701,735
Instituto portaleano,947,762,998,962,477,723,745
Colegio sagrado corazon,678,914,685,721,579,983,987
Colegio sagrado corazon,899,776,681,947,867,611,660
Instituto portaleano,890,855,983,726,931,228,269
Colegio torreon,915,759,596,774,938,243,263
Instituto portaleano,898,603,996,759,483,406,441
Colegio sagrado corazon,912,671,649,776,618,930,931
Instituto portaleano,840,833,789,709,602,263,281
Colegio Santa Maria de Maipu,993,646,683,947,666,884,897
Colegio Santa Maria de Maipu,823,965,651,904,598,942,990
Instituto portaleano,928,959,976,743,917,864,877
Colegio Pedro de Valdivia,814,968,874,843,645,891,901
Colegio Pedro de Valdivia,937,993,815,856,691,497,525
Instituto portaleano,820,622,816,667,567,773,815
Instituto portaleano,940,944,893,835,596,543,587
Colegio Santa Maria de Maipu,727,929,716,655,477,759,799
Colegio Pedro de Valdivia,792,659,774,921,838,957,975
Colegio Santa Maria de Maipu,604,786,640,877,513,588,592
Colegio Santa Maria de Maipu,952,890,961,857,612,804,824
Colegio Santa Maria de Maipu,709,643,832,711,562,915,953
Colegio Pedro de Valdivia,890,975,943,848,646,742,764
Colegio sagrado corazon,890,716,947,662,816,990,1000
Colegio sagrado corazon,962,623,592,777,534,598,631
Colegio Santa Maria de Maipu,824,912,787,739,782,474,518
Colegio Santa Maria de Maipu,791,782,743,983,891,856,864
Colegio sagrado corazon,860,797,872,986,828,348,377
Instituto portaleano,996,751,881,874,714,875,876
Colegio Pedro de Valdivia,627,898,883,896,601,567,577
Colegio sagrado corazon,860,934,929,793,795,448,456
Colegio Santa Maria de Maipu,714,865,804,771,936,330,346
Instituto portaleano,720,953,720,678,491,117,131
Colegio Pedro de Valdivia,988,966,860,859,486,788,816
Instituto portaleano,639,958,615,952,547,180,181
Colegio Pedro de Valdivia,898,825,564,698,736,940,977
Colegio Pedro de Valdivia,998,682,626,860,673,837,851
Colegio Santa Maria de Maipu,759,755,618,943,729,276,296
Colegio sagrado corazon,933,898,967,833,892,249,268
Instituto portaleano,894,716,993,707,771,996,1000
Instituto portaleano,814,632,968,722,801,751,778
Colegio torreon,829,708,886,857,514,382,404
Instituto portaleano,856,747,573,877,856,185,193
Colegio sagrado corazon,667,685,792,699,554,468,511
Colegio sagrado corazon,746,615,984,825,895,185,208
Instituto portaleano,737,673,642,934,472,739,743
Colegio Santa Maria de Maipu,784,975,717,906,841,606,607
Colegio Pedro de Valdivia,739,872,834,781,812,177,184
Colegio Pedro de Valdivia,671,666,841,789,813,463,490
Colegio Pedro de Valdivia,981,600,568,974,542,169,175
Colegio sagrado corazon,600,789,980,906,662,298,300
Colegio sagrado corazon,784,853,593,909,857,252,272
Colegio Santa Maria de Maipu,636,857,927,726,945,427,477
Colegio Pedro de Valdivia,857,750,684,893,832,116,161
Colegio Santa Maria de Maipu,955,655,944,757,769,239,248
Colegio sagrado corazon,901,678,1000,766,603,787,803
Colegio torreon,911,708,802,970,597,868,918
Colegio torreon,793,817,810,759,876,102,149
Instituto portaleano,764,900,696,655,989,258,287
Colegio sagrado corazon,733,810,952,659,771,856,877
Colegio torreon,938,764,589,757,652,681,722
Colegio sagrado corazon,962,723,561,980,517,710,746
Colegio torreon,868,689,899,882,753,292,313
Colegio sagrado corazon,995,997,904,687,529,802,819
Colegio Pedro de Valdivia,761,689,720,650,790,563,577
Colegio Santa Maria de Maipu,770,630,694,848,578,486,524
Colegio sagrado corazon,926,779,954,729,882,696,717
Instituto portaleano,603,830,846,955,538,654,699
Colegio sagrado corazon,857,994,685,749,727,136,140
Instituto portaleano,761,689,866,901,855,803,853
Colegio Pedro de Valdivia,634,860,702,866,612,957,988
Colegio torreon,753,813,610,768,980,838,878
Colegio Santa Maria de Maipu,755,860,810,700,530,964,996
Colegio Pedro de Valdivia,716,956,794,709,466,863,868
Colegio sagrado corazon,917,924,584,700,585,968,1000
Colegio torreon,656,813,631,912,568,987,1000
Colegio torreon,922,936,596,679,833,872,897
Instituto portaleano,673,699,760,660,655,155,189
Colegio sagrado corazon,764,674,553,982,876,383,407
Colegio Santa Maria de Maipu,758,673,981,932,937,248,289
Colegio Pedro de Valdivia,882,927,688,833,586,390,413
Colegio Santa Maria de Maipu,927,946,772,888,712,911,927
Colegio sagrado corazon,858,782,616,688,596,376,379
Instituto portaleano,687,682,807,981,986,514,524
Colegio torreon,697,919,966,937,616,653,676
Instituto portaleano,758,722,905,807,663,231,280
Instituto portaleano,768,943,687,664,783,635,666
Colegio Santa Maria de Maipu,631,906,833,844,866,823,828
Colegio sagrado corazon,612,815,959,966,602,759,803
Colegio torreon,870,891,655,996,697,317,348
Colegio Pedro de Valdivia,945,746,966,850,797,186,226
Colegio Pedro de Valdivia,901,629,718,673,752,762,788
Instituto portaleano,961,758,917,886,795,164,180
Colegio torreon,828,949,555,992,923,292,293
Colegio torreon,775,961,577,953,466,691,730
Instituto portaleano,892,650,969,898,688,917,935
Instituto portaleano,788,947,559,875,499,421,457
Colegio Santa Maria de Maipu,825,622,583,775,584,349,388
Colegio torreon,822,954,722,915,981,318,339
Colegio Santa Maria de Maipu,860,793,908,874,934,712,757
Colegio torreon,612,751,837,652,592,871,889
Colegio torreon,791,908,826,910,751,822,861
Colegio Santa Maria de Maipu,800,787,831,929,993,959,1000
Instituto portaleano,666,606,919,971,693,924,929
Colegio Pedro de Valdivia,868,869,552,906,631,881,886
Colegio Pedro de Valdivia,802,766,895,700,480,182,229
Colegio sagrado corazon,605,628,632,765,784,530,575
Colegio Santa Maria de Maipu,668,933,866,904,835,569,608
Colegio sagrado corazon,954,818,839,913,749,515,559
Colegio Santa Maria de Maipu,984,912,611,762,634,403,410
Colegio Santa Maria de Maipu,695,812,815,955,638,335,358
Colegio Pedro de Valdivia,628,603,938,664,683,246,286
Colegio Pedro de Valdivia,736,875,964,780,613,369,415
Colegio torreon,714,864,766,865,548,976,1000
Colegio Pedro de Valdivia,688,776,712,840,949,791,806
Colegio Pedro de Valdivia,731,795,982,890,581,925,939
Colegio torreon,659,863,671,879,998,272,281
Colegio torreon,627,999,612,696,505,468,503
Colegio Santa Maria de Maipu,681,781,726,652,822,300,327
Colegio Pedro de Valdivia,826,637,666,924,798,775,794
Colegio torreon,617,916,950,719,849,537,582
Colegio sagrado corazon,803,738,656,797,492,642,688
Colegio torreon,772,918,769,925,651,763,784
Colegio Santa Maria de Maipu,810,628,686,928,584,692,698
Instituto portaleano,895,711,646,807,829,474,492
Colegio Santa Maria de Maipu,741,983,604,891,821,435,438
Colegio Santa Maria de Maipu,605,709,840,954,796,924,971
Colegio torreon,743,694,652,788,681,156,180
Instituto portaleano,856,810,976,757,999,271,302
Instituto portaleano,653,985,640,935,941,632,660
Colegio Santa Maria de Maipu,883,927,812,909,834,747,776
Colegio sagrado corazon,957,846,974,977,754,763,783
Colegio Santa Maria de Maipu,993,940,862,869,648,761,789
Colegio Pedro de Valdivia,896,904,892,715,459,308,325
Colegio Pedro de Valdivia,659,781,672,890,781,843,893
Colegio sagrado corazon,885,750,928,818,520,109,131
Colegio sagrado corazon,716,818,884,730,827,170,190
Instituto portaleano,828,911,825,692,467,189,199
Instituto portaleano,882,625,868,914,658,592,607
Colegio sagrado corazon,868,969,876,771,506,863,900
Colegio sagrado corazon,615,927,651,863,586,489,518
Colegio Santa Maria de Maipu,976,691,711,892,550,389,428
Colegio Santa Maria de Maipu,958,680,819,743,737,195,210
Colegio Santa Maria de Maipu,716,823,975,995,763,958,974
Colegio torreon,605,659,882,698,720,870,903
Colegio Pedro de Valdivia,735,901,674,952,980,385,405
Colegio torreon,747,677,928,835,596,415,460
Colegio sagrado corazon,761,889,644,746,584,768,813
Colegio sagrado corazon,991,747,984,775,975,979,1000
Colegio torreon,641,623,993,916,582,116,133
Colegio Pedro de Valdivia,657,793,940,890,952,540,582
Colegio torreon,747,950,949,728,674,503,511
Colegio Santa Maria de Maipu,667,622,721,777,642,415,434
Instituto portaleano,606,617,983,813,946,784,823
Instituto portaleano,609,695,711,775,918,782,809
Colegio torreon,807,652,994,749,649,659,671
Colegio Santa Maria de Maipu,664,646,724,984,735,913,947
Colegio torreon,617,890,889,710,870,727,745
Instituto portaleano,907,605,854,963,586,946,987
Instituto portaleano,899,722,829,920,972,649,696
Colegio sagrado corazon,991,899,899,866,552,399,405
Colegio sagrado corazon,830,875,964,820,996,877,916
Colegio torreon,747,616,593,960,640,808,846
Colegio Pedro de Valdivia,635,883,841,734,910,369,383
Colegio sagrado corazon,747,892,945,739,891,570,605
Colegio Pedro de Valdivia,618,953,879,825,825,853,867
Instituto portaleano,910,642,827,772,972,472,489
Colegio Pedro de Valdivia,700,888,918,782,547,878,902
Colegio torreon,873,772,554,781,643,576,611
Colegio torreon,899,705,969,852,818,482,516
Colegio Santa Maria de Maipu,642,663,738,757,942,962,1000
Colegio sagrado corazon,920,770,804,889,744,346,353
Colegio sagrado corazon,658,767,833,672,841,199,225
Colegio sagrado corazon,866,700,954,665,916,859,888
Instituto portaleano,696,988,613,788,747,506,511
Colegio Pedro de Valdivia,849,759,833,653,607,866,882
Colegio torreon,846,604,731,964,786,377,396
Colegio torreon,914,761,829,769,553,992,1000
Colegio Santa Maria de Maipu,962,847,582,956,736,942,982
Colegio Santa Maria de Maipu,895,907,873,668,488,101,128
Colegio Pedro de Valdivia,824,963,788,836,562,483,519
Colegio Pedro de Valdivia,636,647,959,1000,552,962,980
Colegio sagrado corazon,685,616,917,886,921,968,982
Instituto portaleano,814,668,872,899,709,704,752
Colegio torreon,663,785,813,917,482,312,331
Colegio Santa Maria de Maipu,884,964,561,881,992,780,826
Instituto portaleano,680,901,841,685,937,961,993
Colegio Santa Maria de Maipu,809,834,926,666,498,870,880
Colegio sagrado corazon,832,983,994,904,919,755,798
Colegio sagrado corazon,686,846,660,853,471,169,178
Instituto portaleano,800,622,956,658,530,943,971
Colegio Pedro de Valdivia,958,652,841,737,904,651,671
Colegio sagrado corazon,885,813,967,864,563,128,141
Colegio Pedro de Valdivia,890,680,797,870,905,764,778
Instituto portaleano,607,817,884,819,522,876,890
Instituto portaleano,801,659,916,658,513,229,236
Colegio torreon,711,743,1000,706,749,564,575
Colegio sagrado corazon,843,624,646,670,853,502,539
Colegio Santa Maria de Maipu,838,992,684,697,947,833,853
Colegio torreon,629,775,883,684,479,458,465
Colegio Santa Maria de Maipu,819,665,627,967,994,629,651
Colegio torreon,715,618,929,694,784,491,516
Colegio sagrado corazon,847,723,693,819,728,113,158
Instituto portaleano,675,705,970,919,801,179,211
Colegio torreon,678,731,853,883,724,972,993
Colegio torreon,806,824,796,778,754,105,123
Colegio Pedro de Valdivia,965,629,741,843,752,141,144
Colegio sagrado corazon,693,628,987,972,859,755,801
Colegio sagrado corazon,767,840,664,737,765,428,434
Instituto portaleano,961,762,895,675,895,738,755
Colegio torreon,878,822,916,751,695,811,835
Colegio Pedro de Valdivia,863,861,936,972,690,666,675
Instituto portaleano,751,983,588,893,947,434,441
Instituto portaleano,915,743,928,974,666,373,373
Colegio Santa Maria de Maipu,750,983,668,888,558,247,254
Instituto portaleano,804,608,639,964,461,184,209
Instituto portaleano,908,869,929,668,972,162,168
Colegio Pedro de Valdivia,746,755,916,935,599,564,573
Instituto portaleano,922,691,722,915,898,198,207
Colegio Santa Maria de Maipu,808,800,559,669,536,795,807
Colegio sagrado corazon,870,617,775,981,885,593,624
Colegio torreon,743,747,818,693,884,824,870
Colegio torreon,856,978,939,693,510,654,666
Colegio torreon,627,712,763,764,739,386,419
Colegio torreon,929,845,859,735,800,394,439
Colegio sagrado corazon,679,651,890,870,683,585,605
Colegio torreon,907,814,952,783,488,388,423
Colegio torreon,942,695,753,765,978,439,478
Colegio torreon,716,819,605,717,795,471,481
Colegio torreon,879,785,994,878,796,874,910
Instituto portaleano,831,661,934,981,718,906,944
Instituto portaleano,920,981,808,935,816,571,587

// --- DATOS PARA DERECHO ---
Colegio,CL,M1,M2,CI,HI,NEM,RAN
Colegio sagrado corazon,744,550,721,642,658,521,522
Instituto portaleano,952,851,520,713,954,816,848
Colegio torreon,677,731,852,818,980,125,172
Colegio Pedro de Valdivia,773,755,980,794,882,305,336
Instituto portaleano,996,676,790,647,751,768,802
Colegio sagrado corazon,960,649,873,715,770,315,328
Instituto portaleano,695,802,757,886,886,372,385
Colegio torreon,793,543,872,880,966,722,747
Colegio torreon,665,628,985,411,990,305,322
Colegio torreon,723,563,681,918,770,527,529
Colegio Santa Maria de Maipu,988,536,455,516,927,382,409
Colegio Pedro de Valdivia,905,728,549,859,899,826,857
Colegio sagrado corazon,812,930,776,726,781,353,377
Colegio sagrado corazon,753,989,896,519,696,178,208
Colegio Santa Maria de Maipu,865,818,727,957,759,470,487
Colegio torreon,817,860,876,952,741,536,552
Instituto portaleano,651,579,716,838,943,280,284
Colegio Santa Maria de Maipu,680,522,577,547,951,698,732
Colegio Pedro de Valdivia,987,949,754,572,949,243,273
Colegio Santa Maria de Maipu,840,847,628,417,930,893,925
Colegio torreon,784,740,628,445,858,733,733
Colegio torreon,942,913,937,401,652,767,789
Colegio torreon,806,508,618,755,805,971,1000
Colegio Santa Maria de Maipu,896,672,692,506,957,466,495
Colegio torreon,967,761,833,516,672,344,369
Colegio Santa Maria de Maipu,715,734,600,961,952,524,569
Colegio Santa Maria de Maipu,973,877,601,829,961,979,1000
Colegio Santa Maria de Maipu,921,740,879,684,725,375,395
Colegio Santa Maria de Maipu,860,763,546,542,995,218,226
